name,municipali,barangay,admin2,admin3,type,X,Y,admin2_X,admin2_Y,lon,lat,RHU / Hospital,Province,Ultrasound machine,Ultrasound machine NOTE,Anesthesia machine,Anesthesia machine NOTE,Ventilator (portable),Ventilator (portable) NOTE,Respirator (portable),Respirator (portable) NOTE,ECG machine,ECG machine NOTE,Generator 6KVA,Generator 6KVA NOTE,Std Eqpt for RHU,Std Eqpt for RHU NOTE,OB/Del kits,OB/Del kits NOTE,First Aid kits,First Aid kits NOTE
Salcedo RHU,Salcedo,0,PH082619000,#N/A,health_facility,125.59432,11.14742,125.59432,11.14742,125.6640244,11.15010851,RHU,Eastern Samar,,,,,,,,,,,1,Required as per original list,,,45,Required as per original list,50,Required as per original list
Abuyog RHU,Abuyog,Balocawehay,PH083701000,PH083701008,health_facility,124.98003,10.731443,125.09164,10.634046,124.9811018,10.74179381,RHU,Leyte,,,,,,,,,,,1,Required as per original list,,,11,Required as per original list,13,Required as per original list
Alang-alang RHU,Alangalang,San Roque,PH083702000,PH083702054,health_facility,124.846272,11.212068,124.865405,11.210308,124.8451996,11.21140731,RHU,Leyte,,,,,,,,,,,0,Not required,0,Not required,22,Required as per original list,11,Required as per original list
Albuera RHU,Albuera,Poblacion,PH083703000,PH083703010,health_facility,124.740915,10.930413,124.745502,10.925819,124.6965408,10.91894355,RHU,Leyte,,,,,,,,,,,0,Not required,,,19,Required as per original list,20,Required as per original list
Barugo RHU,Barugo,Poblacion Dist. III,PH083706000,PH083706025,health_facility,124.73551,11.327247,124.769026,11.307844,124.7371709,11.32440337,RHU,Leyte,,,,,,,,,,,1,Required as per original list,,,14,Required as per original list,13,Required as per original list
Burauen RHU,Burauen,Poblacion District VII,PH083710000,PH083710024,health_facility,124.888453,10.972206,124.898253,10.977365,124.8884525,10.97220645,RHU,Leyte,,,,,,,,,,,0,Not required,0,Not required,21,Required as per original list,22,Required as per original list
Calubian RHU,Calubian,Poblacion,PH083713000,PH083713050,health_facility,124.426095,11.445866,124.41322,11.43679,124.4351006,11.43274887,RHU,Leyte,,,,,,,,,,,0,Not required,0,Not required,14,Required as per original list,10,Required as per original list
Capoocan RHU,Capoocan,Poblacion Zone I,PH083714000,PH083714015,health_facility,124.636877,11.279129,124.604212,11.250074,124.6415234,11.29310478,RHU,Leyte,,,,,,,,,,,1,Required as per original list,0,Not required,14,Required as per original list,9,Required as per original list
Carigara RHU,Carigara,Baybay,PH083715000,PH083715006,health_facility,124.689925,11.301481,124.698305,11.240122,124.6897602,11.29819695,RHU,Leyte,,,,,,,,,,,0,Not required,0,Not required,66,Required as per original list,15,Required as per original list
Cogon District Health Center,Ormoc City,Cogon Combado,PH083738000,PH083738016,health_facility,124.602785,11.022266,124.635704,11.055246,124.6059036,11.01894218,RHU,Leyte,,,,,,,,,,,1,Required as per original list,,,20,Required as per original list,19,Required as per original list
Curva DHC,Ormoc City,Curva,PH083738000,PH083738018,health_facility,124.52358,11.023893,124.635704,11.055246,124.5204163,11.02966258,RHU,Leyte,,,,,,,,,,,1,Required as per original list,,,17,Required as per original list,33,Required as per original list
Dagami RHU,Dagami,San Antonio Poblacion,PH083717000,PH083717043,health_facility,124.905084,11.067734,124.858595,11.059483,124.9050835,11.06773413,RHU,Leyte,,,,,,,,,,,0,Not required,0,Not required,15,Required as per original list,13,Required as per original list
Dulag RHU,Dulag,Buntay,PH083718000,PH083718023,health_facility,125.031015,10.957196,125.00694,10.96574,125.031015,10.95719578,RHU,Leyte,,,,,,,,,,,0,Not required,0,Not required,19,Required as per original list,15,Required as per original list
Ipil district RHU,Ormoc City,0,PH083738000,#N/A,health_facility,124.635704,11.055246,124.635704,11.055246,124.6357044,11.05524601,RHU,Leyte,,,,,,,,,,,0,Not required,,,14,Required as per original list,26,Required as per original list
Isabel RHU,Isabel,Santo Nino,PH083722000,PH083722021,health_facility,124.440445,10.925173,124.459695,10.9403,124.440445,10.9251728,RHU,Leyte,,,,,,,,,,,1,Required as per original list,,,20,Required as per original list,11,Required as per original list
Jaro RHU,Jaro,District I,PH083723000,PH083723027,health_facility,124.779352,11.188113,124.765552,11.162003,124.779352,11.188113,RHU,Leyte,,,,,,,,,,,1,Required as per original list,,,20,Required as per original list,19,Required as per original list
Javier RHU,Javier,Poblacion Zone 2,PH083724000,PH083724023,health_facility,124.935247,10.791448,124.924701,10.763958,124.9352473,10.79144836,RHU,Leyte,,,,,,,,,,,1,Required as per original list,,,12,Required as per original list,8,Required as per original list
Julita RHU,Julita,Poblacion District IV,PH083725000,PH083725021,health_facility,124.964789,10.969114,124.961304,10.981304,124.9616504,10.97309173,RHU,Leyte,,,,,,,,,,,0,Not required,,,26,Required as per original list,20,Required as per original list
Kananga RHU,Kananga,Poblacion,PH083726000,PH083726015,health_facility,124.55969,11.178476,124.57117,11.163167,124.5586324,11.18366447,RHU,Leyte,,,,,,,,,,,0,Not required,,,24,Required as per original list,10,Required as per original list
La Paz Rural Health Unit,La Paz,Poblacion District 1,PH083728000,PH083728025,health_facility,124.963048,10.895328,124.89513,10.886507,124.9579811,10.89155232,RHU,Leyte,,,,,,,,,,,0,Not required,,,10,Required as per original list,10,Required as per original list
Leyte RHU,Leyte,Poblacion,PH083729000,PH083729021,health_facility,124.491955,11.382541,124.493955,11.33789,124.487586,11.37032981,RHU,Leyte,,,,,,,,,,,1,Required as per original list,,,20,Required as per original list,17,Required as per original list
Linao DHC,Ormoc City,Linao,PH083738000,PH083738060,health_facility,124.590389,11.01679,124.635704,11.055246,124.5910764,11.01588816,RHU,Leyte,,,,,,,,,,,1,Required as per original list,,,15,Required as per original list,11,Required as per original list
Matag-ob RHU,Matag-ob,San Guillermo,PH083733000,PH083733021,health_facility,124.461905,11.135342,124.468261,11.124023,124.4712353,11.14707691,RHU,Leyte,,,,,,,,,,,1,Required as per original list,,,9,Required as per original list,13,Required as per original list
Mayorga RHU,Mayorga,Poblacion Zone 1,PH083735000,PH083735009,health_facility,125.012811,10.905015,124.989545,10.884516,125.0057888,10.90395243,RHU,Leyte,,,,,,,,,,,1,Required as per original list,,,7,Required as per original list,6,Required as per original list
McArthur RHU,Macarthur,Poblacion District 1,PH083730000,PH083730017,health_facility,125.001235,10.83716,124.879943,10.82657,124.9964118,10.83520275,RHU,Leyte,,,,,,,,,,,1,Required as per original list,0,Not required,9,Required as per original list,10,Required as per original list
Merida RHU,Merida,Poblacion,PH083736000,PH083736017,health_facility,124.53141,10.917157,124.50848,10.94969,124.5363808,10.91034719,RHU,Leyte,,,,,,,,,,,1,Required as per original list,,,13,Required as per original list,10,Required as per original list
Ormoc City RHU,Ormoc City,0,PH083738000,#N/A,health_facility,124.635704,11.055246,124.635704,11.055246,124.6357044,11.05524601,RHU,Leyte,,,,,,,,,,,0,Not required,,,84,Required as per original list,3,Required as per original list
Palo RHU,Palo,Sta. Cruz,PH083739000,#N/A,health_facility,124.964415,11.141815,124.964415,11.141815,124.964415,11.14181515,RHU,Leyte,,,,,,,,,,,0,Not required,,,8,Required as per original list,6,Required as per original list
Palompon RHU,Palompon,Brgy. Ipil 3,PH083740000,#N/A,health_facility,124.42414,11.039562,124.42414,11.039562,124.3888378,11.05329242,RHU,Leyte,,,,,,,,,,,0,Not required,,,29,Required as per original list,19,Required as per original list
Pastrana Rural Health Unit,Pastrana,District 4,PH083741000,PH083741025,health_facility,124.886979,11.140608,124.895845,11.125161,124.8860443,11.13731875,RHU,Leyte,,,,,,,,,,,1,Required as per original list,,,25,Required as per original list,19,Required as per original list
San Isidro RHU,San Isidro,Poblacion,PH083742000,#N/A,health_facility,124.391028,11.398978,124.391028,11.398978,124.3530464,11.4066681,RHU,Leyte,,,,,,,,,,,1,Required as per original list,,,12,Required as per original list,17,Required as per original list
San Miguel RHU,San Miguel,Libtong,PH083743000,PH083743009,health_facility,124.827273,11.28943,124.84009,11.315929,124.83181,11.29209476,RHU,Leyte,,,,,,,,,,,0,Not required,0,Not required,9,Required as per original list,8,Required as per original list
Sta. Fe RHU,Santa Fe,Zone 2,PH083744000,PH083744010,health_facility,124.922333,11.184247,124.93941,11.195627,124.9185848,11.18614838,RHU,Leyte,,,,,,,,,,,0,Not required,0,Not required,9,Required as per original list,6,Required as per original list
Tabango RHU,Tabango,Poblacion,PH083745000,PH083745011,health_facility,124.3502,11.314917,124.410455,11.313683,124.3723154,11.30730793,RHU,Leyte,,,,,,,,,,,1,Required as per original list,,,15,Required as per original list,19,Required as per original list
Tabontabon RHU,Tabontabon,Bonifacio,PH083746000,#N/A,health_facility,124.947086,11.04415,124.947086,11.04415,124.9628735,11.04263606,RHU,Leyte,,,,,,,,,,,0,,,,5,Required as per original list,4,Required as per original list
Tacloban  City HC,Tacloban City,Barangay 25,PH083747000,PH083747047,health_facility,124.996025,11.24786,124.930415,11.298227,125.0022697,11.24205184,RHU,Leyte,,,,,,,,,,,1,Required as per original list,,,10,Required as per original list,11,Required as per original list
Tanauan Rural Health ,Tanauan,Buntay,PH083748000,PH083748040,health_facility,125.01907,11.11377,124.990514,11.084258,125.0169683,11.11047423,RHU,Leyte,,,,,,,,,,,0,Not required,,,23,Required as per original list,11,Required as per original list
Tolasa RHU,Tolosa,Imelda,PH083749000,PH083749015,health_facility,125.03646,11.068908,125.020285,11.03688,125.0375462,11.0634851,RHU,Leyte,,,,,,,,,,,0,Not required,,,5,Required as per original list,4,Required as per original list
Tunga RHU,Tunga,San Antonio,PH083750000,PH083750004,health_facility,124.743225,11.235041,124.764785,11.251498,124.743225,11.23504114,RHU,Leyte,,,,,,,,,,,1,Required as per original list,,,3,Required as per original list,4,Required as per original list
Valencia HC,Ormoc City,Valencia,PH083738000,PH083738090,health_facility,124.569955,11.103567,124.635704,11.055246,124.5780516,11.10762119,RHU,Leyte,,,,,,,,,,,0,Not required,,,16,Required as per original list,11,Required as per original list
Villaba RHU,Villaba,Poblacion Sur,PH083751000,PH083751023,health_facility,124.391022,11.208953,124.442095,11.193957,124.3924427,11.20942877,RHU,Leyte,,,,,,,,,,,1,Required as per original list,,,18,Required as per original list,15,Required as per original list
Basey RHU,Basey,Mercado,PH086002000,PH086002038,health_facility,125.076483,11.289162,125.152198,11.39398,125.0764831,11.28916165,RHU,Samar (Western),,,,,,,,,,,1,Required as per original list,,,68,Required as per original list,49,Required as per original list
Hinabangan RHU,Hinabangan,Rawis,PH086008000,PH086008014,health_facility,125.056205,11.697901,125.158075,11.715075,125.056205,11.69790121,RHU,Samar (Western),,,,,,,,,,,1,Required as per original list,,,17,Required as per original list,20,Required as per original list
Jiabong RHU,Jiabong,Masagana,PH086009000,#N/A,health_facility,124.945853,11.810459,124.945853,11.810459,124.9458525,11.81045861,RHU,Samar (Western),,,,,,,,,,,1,Required as per original list,,,24,Required as per original list,20,Required as per original list
Marabut RHU,Marabut,Amantillo,PH086010000,PH086010015,health_facility,125.22104,11.130859,125.218465,11.205867,125.2137995,11.10687371,RHU,Samar (Western),,,,,,,,,,,1,Required as per original list,,,22,Required as per original list,30,Required as per original list
Motiong Rural Health Unit,Motiong,Poblacion I-A,PH086012000,PH086012002,health_facility,124.977938,11.788514,124.991695,11.807602,124.9779384,11.78851382,RHU,Samar (Western),,,,,,,,,,,1,Required as per original list,,,21,Required as per original list,20,Required as per original list
 Matuguinao RHU ,Matuguiano ,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,124.8854113,12.14471101,RHU,Samar (Western) ,,,,,,,,,,,0,Not required,,,10,Required as per original list,15,Required as per original list
 Santo Nino RHU ,Santo Nino,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,124.4488335,11.92568,RHU,Samar (Western) ,,,,,,,,,,,0,Not required,,,18,Required as per original list,25,Required as per original list
 Zumarraga RHU ,Zumarraga,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,124.8422813,11.63878618,RHU,Samar (Western) ,,,,,,,,,,,0,Not required,,,15,Required as per original list,25,Required as per original list
